InstanceId,FinalReasoning
astropy__astropy-13579,Both
astropy__astropy-14365,Both
astropy__astropy-14598,Atish
astropy__astropy-7606,Both
astropy__astropy-7671,Both
astropy__astropy-8707,Both
astropy__astropy-8872,Both
django__django-10554,Both
django__django-11138,Both
django__django-11265,Both
django__django-11400,Both
django__django-11532,Atish
django__django-11734,Both
django__django-11740,Both
django__django-12155,Atish
django__django-12406,Both
django__django-13297,Both
django__django-13344,Both
django__django-13512,Both
django__django-13810,Both
django__django-14011,Both
django__django-14034,Both
django__django-14053,Both
django__django-14170,Both
django__django-14349,Both
django__django-15503,Both
django__django-15554,Both
django__django-15563,Both
django__django-15572,Both
django__django-15629,Both
django__django-15732,Both
django__django-15916,Both
django__django-16145,Both
django__django-16315,Both
django__django-16454,Both
django__django-16502,Both
django__django-16631,Both
django__django-16901,Both
django__django-16938,Both
django__django-17084,Both
matplotlib__matplotlib-20859,Both
matplotlib__matplotlib-23299,Atish
matplotlib__matplotlib-24026,Eshgin
matplotlib__matplotlib-25287,Both
matplotlib__matplotlib-25311,Both
matplotlib__matplotlib-25479,Atish
matplotlib__matplotlib-25960,Both
matplotlib__matplotlib-26466,Both
mwaskom__seaborn-3187,Both
psf__requests-2317,Both
psf__requests-2931,Both
pydata__xarray-3095,Both
pydata__xarray-3993,Both
pydata__xarray-6599,Both
pydata__xarray-6938,Both
pydata__xarray-7229,Both
pylint-dev__pylint-4604,Both
pylint-dev__pylint-6528,Both
pylint-dev__pylint-8898,Both
pytest-dev__pytest-10051,Both
pytest-dev__pytest-6197,Both
pytest-dev__pytest-7205,Both
pytest-dev__pytest-7236,Both
pytest-dev__pytest-7324,Both
scikit-learn__scikit-learn-10297,Both
scikit-learn__scikit-learn-12973,Both
scikit-learn__scikit-learn-13124,Both
scikit-learn__scikit-learn-13142,Both
scikit-learn__scikit-learn-25931,Both
scikit-learn__scikit-learn-25973,Both
scikit-learn__scikit-learn-26194,Atish
scikit-learn__scikit-learn-9288,Both
sphinx-doc__sphinx-10449,Both
sphinx-doc__sphinx-11510,Both
sphinx-doc__sphinx-7462,Both
sphinx-doc__sphinx-7910,Both
sphinx-doc__sphinx-8056,Both
sphinx-doc__sphinx-8120,Both
sphinx-doc__sphinx-8475,Both
sphinx-doc__sphinx-8551,Both
sphinx-doc__sphinx-9320,Both
sphinx-doc__sphinx-9658,Both
sphinx-doc__sphinx-9711,Both
sympy__sympy-13877,Both
sympy__sympy-14248,Both
sympy__sympy-15345,Both
sympy__sympy-15976,Both
sympy__sympy-16597,Both
sympy__sympy-16792,Both
sympy__sympy-17318,Both
sympy__sympy-19495,Both
sympy__sympy-20438,Atish
sympy__sympy-21379,Both
sympy__sympy-24562,Both
