instance,claude-opus,gemini-3.1-flash-lite,gpt-5-3-codex,minimax-m3
astropy__astropy-13579,3/3,0/3,1/3,3/3
astropy__astropy-14365,3/3,2/3,3/3,1/3
astropy__astropy-14598,2/3,0/3,3/3,1/3
astropy__astropy-7606,3/3,1/3,3/3,2/3
astropy__astropy-7671,3/3,0/3,1/3,3/3
astropy__astropy-8707,3/3,0/3,3/3,0/3
astropy__astropy-8872,3/3,0/3,3/3,3/3
django__django-10554,0/3,0/3,0/3,0/3
django__django-11138,3/3,3/3,3/3,1/3
django__django-11265,3/3,0/3,2/3,2/3
django__django-11400,3/3,2/3,3/3,3/3
django__django-11532,1/3,0/3,0/3,0/3
django__django-11728,3/3,0/3,1/3,0/3
django__django-11734,3/3,0/3,1/3,1/3
django__django-11740,3/3,0/3,2/3,3/3
django__django-12155,3/3,1/3,3/3,2/3
django__django-12406,2/3,0/3,2/3,2/3
django__django-13121,0/3,0/3,0/3,0/3
django__django-13158,3/3,0/3,0/3,1/3
django__django-13195,3/3,3/3,3/3,2/3
django__django-13297,2/3,0/3,1/3,1/3
django__django-13343,3/3,1/3,3/3,3/3
django__django-13344,1/3,0/3,0/3,0/3
django__django-13346,0/3,0/3,0/3,0/3
django__django-13449,3/3,0/3,2/3,0/3
django__django-13512,3/3,3/3,3/3,3/3
django__django-13810,3/3,0/3,3/3,3/3
django__django-14007,3/3,0/3,3/3,3/3
django__django-14011,1/3,0/3,2/3,1/3
django__django-14034,0/3,0/3,0/3,0/3
django__django-14053,3/3,1/3,3/3,2/3
django__django-14170,0/3,0/3,0/3,0/3
django__django-14315,3/3,1/3,1/3,3/3
django__django-14349,0/3,1/3,1/3,0/3
django__django-14434,0/3,0/3,0/3,0/3
django__django-15128,0/3,0/3,0/3,0/3
django__django-15503,3/3,0/3,0/3,2/3
django__django-15554,3/3,0/3,0/3,0/3
django__django-15563,3/3,0/3,3/3,2/3
django__django-15572,3/3,2/3,3/3,3/3
django__django-15629,3/3,0/3,2/3,1/3
django__django-15732,3/3,1/3,1/3,2/3
django__django-15916,3/3,0/3,3/3,3/3
django__django-16145,0/3,1/3,0/3,0/3
django__django-16256,0/3,0/3,0/3,0/3
django__django-16315,2/3,0/3,0/3,2/3
django__django-16454,1/3,3/3,0/3,1/3
django__django-16502,2/3,1/3,0/3,1/3
django__django-16631,2/3,0/3,1/3,1/3
django__django-16901,3/3,0/3,2/3,3/3
django__django-16938,3/3,0/3,3/3,3/3
django__django-17084,3/3,0/3,1/3,0/3
