model,run,instance,status,file_hit,line_hit,exact_line_hit,stmt_hit,precision,recall,f1,n_pred,n_gt
claude-opus,1,astropy__astropy-13579,ok,True,True,True,True,1.000,1.000,1.000,1,1
claude-opus,1,astropy__astropy-14365,ok,True,True,True,True,1.000,0.500,0.667,1,2
claude-opus,1,astropy__astropy-14598,ok,True,False,False,False,0.000,0.000,0.000,2,2
claude-opus,1,astropy__astropy-7606,ok,True,True,True,True,1.000,1.000,1.000,1,1
claude-opus,1,astropy__astropy-7671,ok,True,True,True,True,1.000,1.000,1.000,1,1
claude-opus,1,astropy__astropy-8707,ok,True,True,True,True,0.500,0.143,0.222,2,7
claude-opus,1,astropy__astropy-8872,ok,True,True,True,False,1.000,1.000,1.000,2,2
claude-opus,1,django__django-10554,ok,True,False,False,False,0.000,0.000,0.000,2,1
claude-opus,1,django__django-11138,ok,True,True,True,True,1.000,0.750,0.857,3,4
claude-opus,1,django__django-11265,ok,True,True,True,True,1.000,0.500,0.667,1,2
claude-opus,1,django__django-11400,ok,True,True,True,True,1.000,0.667,0.800,2,3
claude-opus,1,django__django-11532,ok,False,False,False,False,0.000,0.000,0.000,1,1
claude-opus,1,django__django-11728,ok,True,True,True,True,1.000,1.000,1.000,2,2
claude-opus,1,django__django-11734,ok,True,True,True,True,0.500,0.500,0.500,2,2
claude-opus,1,django__django-11740,ok,True,True,True,False,1.000,1.000,1.000,1,1
claude-opus,1,django__django-12155,ok,True,True,True,True,1.000,1.000,1.000,1,1
claude-opus,1,django__django-12406,ok,False,False,False,False,0.000,0.000,0.000,2,2
claude-opus,1,django__django-13121,ok,True,False,False,False,0.000,0.000,0.000,1,3
claude-opus,1,django__django-13158,ok,True,True,True,True,1.000,0.500,0.667,1,2
claude-opus,1,django__django-13195,ok,True,True,True,True,1.000,0.200,0.333,1,5
claude-opus,1,django__django-13297,ok,True,True,True,True,0.500,1.000,0.667,2,1
claude-opus,1,django__django-13343,ok,True,True,True,True,1.000,0.500,0.667,1,2
claude-opus,1,django__django-13344,ok,False,False,False,False,0.000,0.000,0.000,1,4
claude-opus,1,django__django-13346,ok,False,False,False,False,0.000,0.000,0.000,1,1
claude-opus,1,django__django-13449,ok,True,True,True,True,1.000,1.000,1.000,1,1
claude-opus,1,django__django-13512,ok,True,True,True,True,1.000,0.500,0.667,1,2
claude-opus,1,django__django-13810,ok,True,True,True,False,1.000,1.000,1.000,1,1
claude-opus,1,django__django-14007,ok,True,True,True,True,1.000,1.000,1.000,3,3
claude-opus,1,django__django-14011,ok,True,False,False,False,0.000,0.000,0.000,1,1
claude-opus,1,django__django-14034,ok,False,False,False,False,0.000,0.000,0.000,1,1
claude-opus,1,django__django-14053,ok,True,True,True,True,1.000,1.000,1.000,2,2
claude-opus,1,django__django-14170,ok,True,False,False,False,0.000,0.000,0.000,1,2
claude-opus,1,django__django-14315,ok,True,True,True,True,1.000,0.500,0.667,1,2
claude-opus,1,django__django-14349,ok,True,False,False,False,0.000,0.000,0.000,1,1
claude-opus,1,django__django-14434,ok,True,False,False,False,0.000,0.000,0.000,1,1
claude-opus,1,django__django-15128,ok,True,False,False,False,0.000,0.000,0.000,1,1
claude-opus,1,django__django-15503,ok,True,True,False,False,1.000,1.000,1.000,1,1
claude-opus,1,django__django-15554,ok,True,True,True,False,1.000,1.000,1.000,1,1
claude-opus,1,django__django-15563,ok,True,True,True,True,1.000,0.667,0.800,2,3
claude-opus,1,django__django-15572,ok,True,True,True,True,1.000,0.500,0.667,1,2
claude-opus,1,django__django-15629,ok,True,True,True,True,1.000,0.500,0.667,2,4
claude-opus,1,django__django-15732,ok,True,True,True,False,1.000,0.500,0.667,1,2
claude-opus,1,django__django-15916,ok,True,True,True,True,0.500,0.500,0.500,2,2
claude-opus,1,django__django-16145,ok,True,False,False,False,0.000,0.000,0.000,1,1
claude-opus,1,django__django-16256,ok,False,False,False,False,0.000,0.000,0.000,2,1
claude-opus,1,django__django-16315,ok,True,True,True,False,1.000,1.000,1.000,2,2
claude-opus,1,django__django-16454,ok,True,True,True,True,1.000,1.000,1.000,1,1
claude-opus,1,django__django-16502,ok,True,True,True,True,1.000,0.500,0.667,1,2
claude-opus,1,django__django-16631,ok,True,True,True,False,0.500,1.000,0.667,2,1
claude-opus,1,django__django-16901,ok,True,True,True,True,1.000,1.000,1.000,1,1
claude-opus,1,django__django-16938,ok,True,True,True,True,1.000,1.000,1.000,2,2
claude-opus,1,django__django-17084,ok,True,True,False,False,1.000,1.000,1.000,1,1
claude-opus,1,matplotlib__matplotlib-20859,ok,True,True,True,True,1.000,1.000,1.000,1,1
claude-opus,1,matplotlib__matplotlib-22719,ok,True,True,True,True,1.000,1.000,1.000,1,1
claude-opus,1,matplotlib__matplotlib-23299,ok,False,False,False,False,0.000,0.000,0.000,1,1
claude-opus,1,matplotlib__matplotlib-24026,ok,True,True,True,True,1.000,1.000,1.000,1,1
claude-opus,1,matplotlib__matplotlib-24637,ok,True,False,False,False,0.000,0.000,0.000,1,1
claude-opus,1,matplotlib__matplotlib-25287,ok,True,True,True,False,1.000,1.000,1.000,2,2
claude-opus,1,matplotlib__matplotlib-25311,ok,True,True,True,True,1.000,1.000,1.000,1,1
claude-opus,1,matplotlib__matplotlib-25479,ok,True,True,True,True,1.000,0.500,0.667,1,2
claude-opus,1,matplotlib__matplotlib-25960,ok,True,True,True,True,1.000,0.500,0.667,2,4
claude-opus,1,matplotlib__matplotlib-26208,ok,True,False,False,False,0.000,0.000,0.000,1,2
claude-opus,1,matplotlib__matplotlib-26466,ok,True,True,True,True,1.000,0.500,0.667,1,2
claude-opus,1,mwaskom__seaborn-3187,ok,True,True,True,True,1.000,0.500,0.667,1,2
claude-opus,1,psf__requests-2317,ok,True,True,True,True,1.000,1.000,1.000,1,1
claude-opus,1,psf__requests-2931,ok,True,True,True,True,1.000,1.000,1.000,1,1
claude-opus,1,pydata__xarray-3095,ok,True,True,True,True,1.000,1.000,1.000,1,1
claude-opus,1,pydata__xarray-3305,ok,True,True,True,True,1.000,0.333,0.500,1,3
