instance,claude-opus/run1,claude-opus/run2,claude-opus/run3,gemini-3.1-flash-lite/run1,gemini-3.1-flash-lite/run2,gemini-3.1-flash-lite/run3,gpt-5-3-codex/run1,gpt-5-3-codex/run2,gpt-5-3-codex/run3,minimax-m3/run1,minimax-m3/run2,minimax-m3/run3
astropy__astropy-13579,True,True,True,False,no_localization,False,no_localization,no_localization,True,True,True,True
astropy__astropy-14365,True,True,True,no_localization,True,True,True,True,True,False,True,False
astropy__astropy-14598,False,True,True,no_localization,no_localization,no_localization,True,True,True,no_localization,True,no_localization
astropy__astropy-7606,True,True,True,False,False,True,True,True,True,True,True,False
astropy__astropy-7671,True,True,True,no_localization,no_localization,no_localization,False,False,True,True,True,True
astropy__astropy-8707,True,True,True,False,False,False,True,True,True,False,False,no_localization
astropy__astropy-8872,True,True,True,no_localization,no_localization,no_localization,True,True,True,True,True,True
django__django-10554,False,False,False,False,False,False,False,False,False,no_localization,False,no_localization
django__django-11138,True,True,True,True,True,True,True,True,True,no_localization,True,no_localization
django__django-11265,True,True,True,no_localization,no_localization,no_localization,True,True,False,True,True,no_localization
django__django-11400,True,True,True,no_localization,True,True,True,True,True,True,True,True
django__django-11532,False,False,True,False,False,False,False,False,False,False,False,False
django__django-11728,True,True,True,False,no_localization,False,False,False,True,False,False,False
django__django-11734,True,True,True,no_localization,no_localization,False,no_localization,True,no_localization,True,no_localization,no_localization
django__django-11740,True,True,True,no_localization,no_localization,no_localization,no_localization,True,True,True,True,True
django__django-12155,True,True,True,False,False,True,True,True,True,True,True,False
django__django-12406,False,True,True,no_localization,no_localization,no_localization,True,True,False,True,False,True
django__django-13121,False,False,False,no_localization,no_localization,no_localization,no_localization,False,False,False,no_localization,no_localization
django__django-13158,True,True,True,False,False,False,False,no_localization,no_localization,False,True,False
django__django-13195,True,True,True,True,True,True,True,True,True,True,no_localization,True
django__django-13297,True,True,False,False,False,False,no_localization,True,False,False,False,True
django__django-13343,True,True,True,False,True,False,True,True,True,True,True,True
django__django-13344,False,True,False,no_localization,no_localization,False,False,False,False,no_localization,False,no_localization
django__django-13346,False,False,False,no_localization,no_localization,no_localization,False,False,False,False,False,no_localization
django__django-13449,True,True,True,False,no_localization,no_localization,True,True,False,False,False,False
django__django-13512,True,True,True,True,True,True,True,True,True,True,True,True
django__django-13810,True,True,True,False,no_localization,no_localization,True,True,True,True,True,True
django__django-14007,True,True,True,no_localization,no_localization,no_localization,True,True,True,True,True,True
django__django-14011,False,True,False,False,False,no_localization,True,True,False,no_localization,True,False
django__django-14034,False,False,False,False,False,False,False,False,False,False,no_localization,False
django__django-14053,True,True,True,no_localization,True,no_localization,True,True,True,True,False,True
django__django-14170,False,False,False,no_localization,no_localization,no_localization,False,no_localization,False,False,False,False
django__django-14315,True,True,True,True,False,False,True,False,False,True,True,True
django__django-14349,False,False,False,True,no_localization,no_localization,False,False,True,False,False,False
django__django-14434,False,False,False,False,False,False,False,False,False,False,False,False
django__django-15128,False,False,False,False,no_localization,False,False,False,False,False,no_localization,False
django__django-15503,True,True,True,no_localization,no_localization,no_localization,False,False,False,no_localization,True,True
django__django-15554,True,True,True,no_localization,False,no_localization,False,False,False,False,no_localization,False
django__django-15563,True,True,True,no_localization,no_localization,no_localization,True,True,True,True,no_localization,True
django__django-15572,True,True,True,True,no_localization,True,True,True,True,True,True,True
django__django-15629,True,True,True,no_localization,no_localization,no_localization,True,False,True,True,False,no_localization
django__django-15732,True,True,True,no_localization,True,no_localization,False,True,False,True,True,False
django__django-15916,True,True,True,no_localization,no_localization,no_localization,True,True,True,True,True,True
django__django-16145,False,False,False,False,True,no_localization,False,False,False,False,False,False
django__django-16256,False,False,False,False,False,False,False,False,False,False,False,False
django__django-16315,True,False,True,False,False,False,parse_error,False,parse_error,True,no_localization,True
django__django-16454,True,False,False,True,True,True,False,False,False,False,True,False
django__django-16502,True,False,True,True,no_localization,no_localization,no_localization,no_localization,False,False,True,False
django__django-16631,True,True,False,False,False,False,True,False,False,True,no_localization,False
django__django-16901,True,True,True,False,False,False,True,False,True,True,True,True
django__django-16938,True,True,True,no_localization,no_localization,False,True,True,True,True,True,True
django__django-17084,True,True,True,no_localization,no_localization,no_localization,True,False,no_localization,no_localization,False,False
matplotlib__matplotlib-20859,True,True,True,True,no_localization,True,True,False,True,True,True,True
matplotlib__matplotlib-22719,True,True,True,False,no_localization,False,True,True,False,True,False,True
matplotlib__matplotlib-23299,False,False,False,False,no_localization,no_localization,False,no_localization,False,False,no_localization,False
matplotlib__matplotlib-24026,True,True,True,True,True,True,True,True,False,True,True,True
matplotlib__matplotlib-24637,False,False,False,False,no_localization,True,False,False,False,False,False,False
matplotlib__matplotlib-25287,True,True,True,no_localization,True,no_localization,True,True,True,True,True,True
matplotlib__matplotlib-25311,True,True,True,no_localization,no_localization,False,True,True,True,True,True,True
matplotlib__matplotlib-25479,True,True,True,no_localization,no_localization,no_localization,False,True,True,False,no_localization,False
matplotlib__matplotlib-25960,True,True,True,no_localization,False,no_localization,False,False,False,True,True,True
matplotlib__matplotlib-26208,False,False,False,no_localization,no_localization,no_localization,no_localization,no_localization,False,False,False,False
matplotlib__matplotlib-26466,True,True,True,True,True,True,True,True,True,True,True,True
mwaskom__seaborn-3187,True,False,True,no_localization,True,no_localization,True,True,True,no_localization,True,no_localization
psf__requests-2317,True,True,True,True,True,True,True,True,True,True,True,True
psf__requests-2931,True,True,True,False,False,False,True,True,True,True,True,True
pydata__xarray-3095,True,True,True,False,False,False,False,True,True,True,True,True
pydata__xarray-3305,True,True,True,no_localization,no_localization,no_localization,True,True,False,True,True,True
pydata__xarray-3993,True,True,True,True,True,True,True,True,True,True,True,True
pydata__xarray-4687,True,True,True,no_localization,no_localization,no_localization,False,True,False,True,True,no_localization
pydata__xarray-6599,True,False,False,False,no_localization,False,True,no_localization,no_localization,False,False,no_localization
pydata__xarray-6938,True,False,False,no_localization,no_localization,no_localization,False,False,False,False,False,no_localization
pydata__xarray-6992,True,True,True,no_localization,True,no_localization,False,False,False,no_localization,False,no_localization
pydata__xarray-7229,True,True,True,no_localization,no_localization,no_localization,parse_error,parse_error,no_localization,True,True,no_localization
pylint-dev__pylint-4604,True,True,True,no_localization,False,False,False,True,True,False,True,no_localization
pylint-dev__pylint-6386,True,True,True,False,False,no_localization,False,False,False,False,False,False
pylint-dev__pylint-6528,False,False,True,False,False,False,False,False,False,no_localization,False,False
pylint-dev__pylint-8898,True,True,True,no_localization,no_localization,False,True,True,True,True,True,True
pytest-dev__pytest-10051,True,False,True,no_localization,False,False,False,False,False,False,no_localization,False
pytest-dev__pytest-5787,True,False,False,False,no_localization,no_localization,True,no_localization,True,True,True,False
pytest-dev__pytest-5840,True,False,False,True,True,True,no_localization,False,True,True,False,no_localization
pytest-dev__pytest-6197,True,True,True,False,False,False,parse_error,False,no_localization,False,True,no_localization
pytest-dev__pytest-7205,True,True,True,True,True,True,True,True,True,True,no_localization,True
pytest-dev__pytest-7236,True,True,True,no_localization,no_localization,no_localization,parse_error,True,False,False,False,False
pytest-dev__pytest-7324,True,True,True,True,no_localization,True,True,True,True,True,True,True
pytest-dev__pytest-7490,False,False,False,no_localization,False,no_localization,False,False,False,False,False,False
pytest-dev__pytest-7571,False,False,False,False,False,no_localization,False,True,True,False,False,True
pytest-dev__pytest-8399,True,True,True,True,True,True,False,True,True,True,True,True
scikit-learn__scikit-learn-10297,True,True,True,False,True,True,True,True,True,True,True,True
scikit-learn__scikit-learn-12973,True,True,False,False,False,False,False,False,False,False,False,True
scikit-learn__scikit-learn-13124,False,False,False,True,True,no_localization,False,False,False,True,True,no_localization
scikit-learn__scikit-learn-13142,True,True,True,no_localization,no_localization,no_localization,False,False,False,True,True,True
scikit-learn__scikit-learn-14496,True,True,True,True,True,True,True,True,True,True,True,True
scikit-learn__scikit-learn-14629,False,False,False,False,False,False,False,False,False,False,False,False
scikit-learn__scikit-learn-14983,True,True,False,True,True,True,True,True,True,True,False,False
scikit-learn__scikit-learn-25747,False,False,False,True,True,True,True,True,False,False,no_localization,True
scikit-learn__scikit-learn-25931,True,True,True,False,False,no_localization,True,True,True,True,no_localization,True
scikit-learn__scikit-learn-25973,True,True,True,True,False,True,True,True,True,True,no_localization,True
scikit-learn__scikit-learn-26194,True,True,True,True,True,True,True,True,True,True,no_localization,True
scikit-learn__scikit-learn-9288,True,True,True,no_localization,no_localization,no_localization,no_localization,True,False,True,no_localization,True
sphinx-doc__sphinx-10449,True,True,True,no_localization,no_localization,no_localization,no_localization,False,False,False,no_localization,no_localization
sphinx-doc__sphinx-11510,False,True,True,True,True,True,no_localization,no_localization,False,no_localization,no_localization,no_localization
sphinx-doc__sphinx-7462,True,True,True,False,True,False,True,True,True,True,no_localization,True
sphinx-doc__sphinx-7910,True,True,True,True,True,True,True,True,True,True,no_localization,True
sphinx-doc__sphinx-8056,True,True,True,False,no_localization,no_localization,no_localization,no_localization,parse_error,False,no_localization,True
sphinx-doc__sphinx-8120,True,True,True,True,True,True,True,False,True,True,no_localization,True
sphinx-doc__sphinx-8475,True,True,True,True,False,True,False,True,True,True,no_localization,True
sphinx-doc__sphinx-8548,True,False,no_localization,False,False,False,False,False,False,False,no_localization,no_localization
sphinx-doc__sphinx-8551,False,False,False,False,no_localization,no_localization,False,no_localization,False,True,no_localization,False
sphinx-doc__sphinx-9320,True,True,True,False,False,False,True,True,True,True,no_localization,True
sphinx-doc__sphinx-9602,False,True,True,False,False,False,False,no_localization,True,True,True,False
sphinx-doc__sphinx-9658,False,False,False,False,False,False,no_localization,True,True,no_localization,True,False
sphinx-doc__sphinx-9711,True,True,True,no_localization,True,no_localization,True,no_localization,True,True,True,True
sympy__sympy-13031,True,True,True,False,no_localization,False,False,False,False,True,True,no_localization
sympy__sympy-13877,False,False,False,False,False,False,False,False,False,False,False,False
sympy__sympy-14248,True,True,True,no_localization,False,no_localization,True,True,True,no_localization,no_localization,no_localization
sympy__sympy-15345,False,False,False,False,True,False,True,False,False,False,True,True
sympy__sympy-15976,False,False,False,no_localization,no_localization,no_localization,False,False,False,False,True,True
sympy__sympy-16597,True,True,True,True,True,True,True,True,True,True,True,True
sympy__sympy-16792,True,True,True,no_localization,no_localization,no_localization,True,True,False,True,no_localization,True
sympy__sympy-17318,True,True,True,no_localization,False,no_localization,True,False,False,True,False,True
sympy__sympy-18698,True,True,False,no_localization,no_localization,no_localization,no_localization,False,False,True,True,True
sympy__sympy-19495,True,True,True,True,True,True,True,False,True,True,True,True
sympy__sympy-19783,False,True,False,no_localization,no_localization,no_localization,True,False,False,True,no_localization,True
sympy__sympy-20438,False,False,True,False,False,no_localization,no_localization,no_localization,False,False,False,no_localization
sympy__sympy-21379,True,True,True,False,False,no_localization,no_localization,no_localization,False,True,no_localization,no_localization
