model,run,total,evaluated,file_hit,line_hit,exact_line_hit,stmt_hit,file_rate,line_rate,line_rate_eval,stmt_rate,precision,recall,f1,resolved,resolved_rate
claude-opus,run1,130,130,122,97,94,77,0.938,0.746,0.746,0.592,0.717,0.533,0.611,91,0.700
claude-opus,run2,130,130,120,93,88,75,0.923,0.715,0.715,0.577,0.698,0.507,0.587,90,0.692
claude-opus,run3,130,129,120,92,88,74,0.923,0.708,0.713,0.569,0.705,0.502,0.587,91,0.700
claude-opus,mean,130,-,-,-,-,-,0.928,0.723,0.725,0.579,0.707,0.514,0.595,-,0.697
claude-opus,any@3,130,130,126,107,-,87,0.969,0.823,0.823,0.669,0.621,0.629,0.625,103,0.792
claude-opus,majority@3,130,130,120,94,-,75,0.923,0.723,0.723,0.577,0.742,0.502,0.599,91,0.700
claude-opus,all@3,130,130,116,81,-,64,0.892,0.623,0.623,0.492,0.868,0.402,0.549,78,0.600
gemini-3.1-flash-lite,run1,130,80,62,31,29,32,0.477,0.238,0.388,0.246,0.382,0.278,0.322,32,0.246
gemini-3.1-flash-lite,run2,130,76,58,36,34,34,0.446,0.277,0.474,0.262,0.443,0.318,0.370,30,0.231
gemini-3.1-flash-lite,run3,130,73,60,33,30,34,0.462,0.254,0.452,0.262,0.422,0.302,0.352,25,0.192
gemini-3.1-flash-lite,mean,130,-,-,-,-,-,0.462,0.256,0.438,0.256,0.416,0.299,0.348,-,0.223
gemini-3.1-flash-lite,any@3,130,100,80,47,-,45,0.615,0.362,0.470,0.346,0.354,0.322,0.337,39,0.300
gemini-3.1-flash-lite,majority@3,130,100,59,31,-,32,0.454,0.238,0.310,0.246,0.500,0.207,0.293,29,0.223
gemini-3.1-flash-lite,all@3,130,100,41,22,-,23,0.315,0.169,0.220,0.177,0.641,0.144,0.235,19,0.146
gpt-5-3-codex,run1,130,109,96,63,59,57,0.738,0.485,0.578,0.438,0.568,0.389,0.462,40,0.308
gpt-5-3-codex,run2,130,113,96,62,56,52,0.738,0.477,0.549,0.400,0.535,0.365,0.434,34,0.262
gpt-5-3-codex,run3,130,121,98,62,58,53,0.754,0.477,0.512,0.408,0.511,0.354,0.418,45,0.346
gpt-5-3-codex,mean,130,-,-,-,-,-,0.744,0.479,0.546,0.415,0.538,0.370,0.438,-,0.305
gpt-5-3-codex,any@3,130,128,109,84,-,69,0.838,0.646,0.656,0.531,0.425,0.465,0.444,56,0.431
gpt-5-3-codex,majority@3,130,128,100,64,-,55,0.769,0.492,0.500,0.423,0.720,0.319,0.442,40,0.308
gpt-5-3-codex,all@3,130,128,81,39,-,38,0.623,0.300,0.305,0.292,0.772,0.195,0.311,23,0.177
minimax-m3,run1,130,116,103,74,68,60,0.792,0.569,0.638,0.462,0.578,0.449,0.506,67,0.515
minimax-m3,run2,130,97,87,61,59,52,0.669,0.469,0.629,0.400,0.547,0.459,0.499,59,0.454
minimax-m3,run3,130,102,92,64,59,49,0.708,0.492,0.627,0.377,0.573,0.487,0.527,68,0.523
minimax-m3,mean,130,-,-,-,-,-,0.723,0.510,0.631,0.413,0.566,0.465,0.511,-,0.497
minimax-m3,any@3,130,127,116,93,-,76,0.892,0.715,0.732,0.585,0.472,0.538,0.503,88,0.677
minimax-m3,majority@3,130,127,102,69,-,55,0.785,0.531,0.543,0.423,0.691,0.385,0.494,67,0.515
minimax-m3,all@3,130,127,64,37,-,30,0.492,0.285,0.291,0.231,0.808,0.190,0.308,39,0.300
