model,run,instance
gemini-3.1-flash-lite,run1,astropy__astropy-13579
gemini-3.1-flash-lite,run3,astropy__astropy-13579
gpt-5-3-codex,run1,astropy__astropy-7671
gpt-5-3-codex,run2,astropy__astropy-7671
gpt-5-3-codex,run3,django__django-11532
minimax-m3,run3,django__django-11532
gemini-3.1-flash-lite,run1,django__django-12155
gemini-3.1-flash-lite,run2,django__django-12155
minimax-m3,run3,django__django-12155
minimax-m3,run2,django__django-12406
claude-opus,run1,django__django-13121
claude-opus,run2,django__django-13121
claude-opus,run3,django__django-13121
minimax-m3,run1,django__django-13121
gemini-3.1-flash-lite,run1,django__django-13158
gemini-3.1-flash-lite,run2,django__django-13158
gemini-3.1-flash-lite,run3,django__django-13158
gpt-5-3-codex,run1,django__django-13158
minimax-m3,run1,django__django-13158
minimax-m3,run3,django__django-13158
claude-opus,run3,django__django-13297
gemini-3.1-flash-lite,run2,django__django-13297
gemini-3.1-flash-lite,run3,django__django-13297
minimax-m3,run1,django__django-13297
minimax-m3,run2,django__django-13297
gemini-3.1-flash-lite,run1,django__django-13343
gemini-3.1-flash-lite,run3,django__django-13343
minimax-m3,run2,django__django-13344
claude-opus,run1,django__django-13346
claude-opus,run2,django__django-13346
claude-opus,run3,django__django-13346
gpt-5-3-codex,run1,django__django-13346
gpt-5-3-codex,run2,django__django-13346
gpt-5-3-codex,run3,django__django-13346
minimax-m3,run1,django__django-13346
minimax-m3,run2,django__django-13346
gemini-3.1-flash-lite,run1,django__django-13449
minimax-m3,run1,django__django-13449
minimax-m3,run2,django__django-13449
minimax-m3,run3,django__django-13449
gemini-3.1-flash-lite,run1,django__django-13810
claude-opus,run1,django__django-14011
minimax-m3,run2,django__django-14053
claude-opus,run2,django__django-14170
claude-opus,run1,django__django-14349
claude-opus,run2,django__django-14349
claude-opus,run3,django__django-14349
gpt-5-3-codex,run1,django__django-14349
gpt-5-3-codex,run2,django__django-14349
minimax-m3,run1,django__django-14349
minimax-m3,run2,django__django-14349
minimax-m3,run3,django__django-14349
claude-opus,run1,django__django-14434
claude-opus,run2,django__django-14434
claude-opus,run3,django__django-14434
gemini-3.1-flash-lite,run1,django__django-14434
gemini-3.1-flash-lite,run2,django__django-14434
gemini-3.1-flash-lite,run3,django__django-14434
gpt-5-3-codex,run1,django__django-14434
gpt-5-3-codex,run2,django__django-14434
gpt-5-3-codex,run3,django__django-14434
minimax-m3,run1,django__django-14434
minimax-m3,run2,django__django-14434
minimax-m3,run3,django__django-14434
claude-opus,run1,django__django-15128
claude-opus,run2,django__django-15128
claude-opus,run3,django__django-15128
minimax-m3,run1,django__django-15128
minimax-m3,run3,django__django-15128
minimax-m3,run1,django__django-15554
minimax-m3,run3,django__django-15554
claude-opus,run1,django__django-16145
claude-opus,run2,django__django-16145
claude-opus,run3,django__django-16145
gemini-3.1-flash-lite,run1,django__django-16145
gpt-5-3-codex,run2,django__django-16145
gpt-5-3-codex,run3,django__django-16145
minimax-m3,run1,django__django-16145
minimax-m3,run2,django__django-16145
minimax-m3,run3,django__django-16145
claude-opus,run2,django__django-16315
claude-opus,run2,django__django-16454
claude-opus,run3,django__django-16454
gpt-5-3-codex,run1,django__django-16454
gpt-5-3-codex,run3,django__django-16454
claude-opus,run3,django__django-16631
gpt-5-3-codex,run2,django__django-16631
gpt-5-3-codex,run3,django__django-16631
minimax-m3,run3,django__django-16631
gemini-3.1-flash-lite,run1,django__django-16901
gemini-3.1-flash-lite,run2,django__django-16901
gemini-3.1-flash-lite,run3,django__django-16901
gpt-5-3-codex,run2,django__django-16901
minimax-m3,run2,django__django-17084
minimax-m3,run3,django__django-17084
gpt-5-3-codex,run2,matplotlib__matplotlib-20859
gemini-3.1-flash-lite,run1,matplotlib__matplotlib-22719
gemini-3.1-flash-lite,run3,matplotlib__matplotlib-22719
gpt-5-3-codex,run3,matplotlib__matplotlib-22719
minimax-m3,run2,matplotlib__matplotlib-22719
gpt-5-3-codex,run3,matplotlib__matplotlib-24026
claude-opus,run1,matplotlib__matplotlib-24637
claude-opus,run2,matplotlib__matplotlib-24637
claude-opus,run3,matplotlib__matplotlib-24637
gemini-3.1-flash-lite,run1,matplotlib__matplotlib-24637
gpt-5-3-codex,run1,matplotlib__matplotlib-24637
gpt-5-3-codex,run2,matplotlib__matplotlib-24637
gpt-5-3-codex,run3,matplotlib__matplotlib-24637
minimax-m3,run1,matplotlib__matplotlib-24637
minimax-m3,run2,matplotlib__matplotlib-24637
minimax-m3,run3,matplotlib__matplotlib-24637
gemini-3.1-flash-lite,run1,pydata__xarray-3095
gemini-3.1-flash-lite,run2,pydata__xarray-3095
gemini-3.1-flash-lite,run3,pydata__xarray-3095
gpt-5-3-codex,run1,pydata__xarray-3095
claude-opus,run3,pydata__xarray-6599
minimax-m3,run2,pydata__xarray-6599
minimax-m3,run1,pytest-dev__pytest-10051
minimax-m3,run3,pytest-dev__pytest-10051
claude-opus,run2,pytest-dev__pytest-5787
claude-opus,run3,pytest-dev__pytest-5787
claude-opus,run3,pytest-dev__pytest-5840
minimax-m3,run2,pytest-dev__pytest-5840
minimax-m3,run1,pytest-dev__pytest-6197
minimax-m3,run1,pytest-dev__pytest-7236
minimax-m3,run2,pytest-dev__pytest-7236
minimax-m3,run3,pytest-dev__pytest-7236
claude-opus,run1,pytest-dev__pytest-7490
claude-opus,run2,pytest-dev__pytest-7490
claude-opus,run3,pytest-dev__pytest-7490
gpt-5-3-codex,run3,pytest-dev__pytest-7490
minimax-m3,run1,pytest-dev__pytest-7490
minimax-m3,run2,pytest-dev__pytest-7490
minimax-m3,run3,pytest-dev__pytest-7490
claude-opus,run1,pytest-dev__pytest-7571
claude-opus,run2,pytest-dev__pytest-7571
claude-opus,run3,pytest-dev__pytest-7571
gemini-3.1-flash-lite,run1,pytest-dev__pytest-7571
gemini-3.1-flash-lite,run2,pytest-dev__pytest-7571
gpt-5-3-codex,run1,pytest-dev__pytest-7571
minimax-m3,run1,pytest-dev__pytest-7571
minimax-m3,run2,pytest-dev__pytest-7571
gpt-5-3-codex,run1,pytest-dev__pytest-8399
gemini-3.1-flash-lite,run1,scikit-learn__scikit-learn-10297
claude-opus,run3,scikit-learn__scikit-learn-12973
gemini-3.1-flash-lite,run1,scikit-learn__scikit-learn-12973
gemini-3.1-flash-lite,run2,scikit-learn__scikit-learn-12973
gemini-3.1-flash-lite,run3,scikit-learn__scikit-learn-12973
gpt-5-3-codex,run3,scikit-learn__scikit-learn-12973
minimax-m3,run1,scikit-learn__scikit-learn-12973
minimax-m3,run2,scikit-learn__scikit-learn-12973
claude-opus,run1,scikit-learn__scikit-learn-13124
claude-opus,run2,scikit-learn__scikit-learn-13124
claude-opus,run3,scikit-learn__scikit-learn-13124
gpt-5-3-codex,run1,scikit-learn__scikit-learn-13142
gpt-5-3-codex,run2,scikit-learn__scikit-learn-13142
gpt-5-3-codex,run3,scikit-learn__scikit-learn-13142
claude-opus,run1,scikit-learn__scikit-learn-14629
claude-opus,run2,scikit-learn__scikit-learn-14629
claude-opus,run3,scikit-learn__scikit-learn-14629
minimax-m3,run1,scikit-learn__scikit-learn-14629
minimax-m3,run3,scikit-learn__scikit-learn-14629
claude-opus,run3,scikit-learn__scikit-learn-14983
minimax-m3,run2,scikit-learn__scikit-learn-14983
minimax-m3,run3,scikit-learn__scikit-learn-14983
gemini-3.1-flash-lite,run1,scikit-learn__scikit-learn-25931
gemini-3.1-flash-lite,run2,scikit-learn__scikit-learn-25931
gemini-3.1-flash-lite,run2,scikit-learn__scikit-learn-25973
gpt-5-3-codex,run3,scikit-learn__scikit-learn-9288
minimax-m3,run1,sphinx-doc__sphinx-10449
claude-opus,run1,sphinx-doc__sphinx-11510
gpt-5-3-codex,run2,sphinx-doc__sphinx-8120
gemini-3.1-flash-lite,run2,sphinx-doc__sphinx-8475
gpt-5-3-codex,run1,sphinx-doc__sphinx-8475
claude-opus,run1,sphinx-doc__sphinx-8551
claude-opus,run2,sphinx-doc__sphinx-8551
claude-opus,run3,sphinx-doc__sphinx-8551
