reliability,rank,model,n,attempted,fl,apr,reasoning,full_trust,full_trust_lo,full_trust_hi,fix_without_loc,resolved_n,robustness
any@3,1,claude-opus,130,1.000,0.823,0.792,0.900,0.631,0.545,0.709,0.165,103,
any@3,2,minimax-m3,130,0.977,0.715,0.677,0.869,0.500,0.415,0.585,0.216,88,
any@3,3,gpt-5-3-codex,130,0.985,0.638,0.423,0.900,0.315,0.242,0.400,0.236,55,
any@3,4,gemini-3.1-flash-lite,130,0.769,0.362,0.300,0.700,0.185,0.127,0.260,0.385,39,
majority@3,1,claude-opus,130,1.000,0.723,0.700,0.846,0.515,0.430,0.600,0.242,91,
majority@3,2,minimax-m3,130,0.892,0.531,0.515,0.762,0.331,0.256,0.415,0.328,67,
majority@3,3,gpt-5-3-codex,130,0.892,0.485,0.308,0.769,0.208,0.147,0.285,0.325,40,
majority@3,4,gemini-3.1-flash-lite,130,0.585,0.231,0.223,0.515,0.100,0.059,0.164,0.517,29,
all@3,1,claude-opus,130,0.992,0.623,0.600,0.777,0.392,0.313,0.478,0.295,78,
all@3,2,minimax-m3,130,0.554,0.277,0.300,0.423,0.162,0.108,0.234,0.410,39,
all@3,3,gpt-5-3-codex,130,0.762,0.300,0.177,0.600,0.069,0.037,0.126,0.565,23,
all@3,4,gemini-3.1-flash-lite,130,0.408,0.154,0.146,0.331,0.054,0.026,0.107,0.579,19,
