instance,swebench-fl-claude-opus,swebench-fl-gemini-3.1-flash-lite,swebench-fl-gpt-5-3-codex-v3,swebench-fl-minimax-m3
astropy-13579,True,True,False,True
astropy-14365,False,missing,False,False
astropy-14598,False,missing,False,False
astropy-7606,False,False,False,False
astropy-7671,True,True,True,True
astropy-8707,False,False,False,False
astropy-8872,False,missing,False,False
django-10554,True,False,False,missing
django-11138,True,False,False,missing
django-11265,True,True,False,False
django-11400,False,False,False,False
django-11532,False,missing,True,False
django-11728,False,False,False,False
django-11734,False,missing,False,missing
django-11740,True,True,True,True
django-12155,True,True,True,True
django-12406,True,missing,False,True
django-13121,True,missing,False,True
django-13158,True,True,False,True
django-13195,True,missing,False,False
django-13297,True,True,True,True
django-13343,True,True,True,True
django-13344,True,missing,False,False
django-13346,True,False,False,True
django-13449,True,True,False,True
django-13512,False,missing,False,False
django-13810,True,missing,True,True
django-14007,True,missing,False,missing
django-14011,True,False,False,True
django-14034,False,False,False,False
django-14053,True,True,True,True
django-14170,True,missing,False,False
django-14315,False,False,False,False
django-14349,True,True,True,True
django-14434,True,missing,True,True
django-15128,True,True,False,True
django-15503,True,missing,False,False
django-15554,True,False,False,True
django-15563,True,False,False,False
django-15572,True,True,False,True
django-15629,False,missing,False,False
django-15732,True,False,False,False
django-15916,True,False,False,False
django-16145,True,True,False,True
django-16256,True,False,False,False
django-16315,True,False,False,True
django-16454,True,True,True,False
django-16502,False,False,False,False
django-16631,True,False,True,True
django-16901,True,True,False,True
django-16938,True,False,False,True
django-17084,True,True,True,True
matplotlib-20859,True,True,True,False
matplotlib-22719,True,True,True,True
matplotlib-23299,False,False,False,False
matplotlib-24026,True,True,False,True
matplotlib-24637,True,True,True,True
matplotlib-25287,True,True,False,True
matplotlib-25311,True,missing,False,True
matplotlib-25479,False,False,False,False
matplotlib-25960,True,False,False,False
matplotlib-26208,False,missing,False,False
matplotlib-26466,False,False,False,False
pylint-4604,False,missing,False,False
pylint-6386,True,False,False,True
pylint-6528,False,False,False,False
pylint-8898,False,missing,False,False
pytest-10051,True,False,False,True
pytest-5787,True,False,True,True
pytest-5840,False,False,False,False
pytest-6197,True,False,False,True
pytest-7205,True,True,True,False
pytest-7236,True,False,False,True
pytest-7324,True,False,False,False
pytest-7490,True,False,False,False
pytest-7571,True,True,True,True
pytest-8399,True,True,True,True
requests-2317,False,False,True,False
requests-2931,False,False,False,False
scikit-learn-10297,True,True,True,True
scikit-learn-12973,True,True,True,True
scikit-learn-13124,True,False,False,True
scikit-learn-13142,True,missing,True,True
scikit-learn-14496,True,True,True,True
scikit-learn-14629,True,False,False,False
scikit-learn-14983,True,False,False,False
scikit-learn-25747,False,False,False,False
scikit-learn-25931,True,True,True,True
scikit-learn-25973,True,True,False,True
scikit-learn-26194,True,False,True,True
scikit-learn-9288,True,missing,True,True
seaborn-3187,False,False,False,missing
sphinx-10449,True,False,False,True
sphinx-11510,True,False,False,missing
sphinx-7462,False,False,False,False
sphinx-7910,True,missing,False,True
sphinx-8056,True,True,False,False
sphinx-8120,True,True,True,True
sphinx-8475,True,False,True,True
sphinx-8548,True,False,False,missing
sphinx-8551,True,True,False,True
sphinx-9320,True,missing,False,True
sphinx-9602,True,missing,False,False
sphinx-9658,True,False,False,missing
sphinx-9711,False,False,False,False
sympy-13031,True,missing,False,missing
sympy-13877,True,False,True,True
sympy-14248,True,False,False,missing
sympy-15345,True,True,True,True
sympy-15976,True,missing,False,True
sympy-16597,False,False,False,False
sympy-16792,True,True,True,True
sympy-17318,True,missing,False,False
sympy-18698,True,False,False,False
sympy-19495,True,True,False,True
sympy-19783,False,missing,False,True
sympy-20438,False,missing,False,False
sympy-21379,True,True,False,False
sympy-21596,False,False,False,False
sympy-21930,False,missing,missing,False
sympy-22080,True,False,False,missing
sympy-24562,True,True,False,True
xarray-3095,True,True,True,True
xarray-3305,True,missing,True,True
xarray-3993,True,True,False,True
xarray-4687,True,missing,False,True
xarray-6599,True,False,False,True
xarray-6938,True,missing,False,False
xarray-6992,False,missing,False,False
xarray-7229,False,False,False,False
