model,run,attempted,coded,abstained,consistent,conflicting,pct_consistent,pct_conflicting,aligned_4way,pct_aligned_4way
claude-opus,run1,130,124,6,111,13,0.895,0.105,56,0.500
claude-opus,run2,130,123,7,109,14,0.886,0.114,65,0.619
claude-opus,run3,129,124,5,108,16,0.871,0.129,55,0.514
claude-opus,mean,130,-,-,-,-,0.884,-,-,-
claude-opus,any@3,130,-,-,117,-,0.900,-,-,-
claude-opus,majority@3,130,-,-,110,-,0.846,-,-,-
claude-opus,all@3,130,-,-,101,-,0.777,-,-,-
gemini-3.1-flash-lite,run1,80,76,4,69,7,0.908,0.092,5,0.070
gemini-3.1-flash-lite,run2,76,71,5,67,4,0.944,0.056,3,0.043
gemini-3.1-flash-lite,run3,73,70,3,65,5,0.929,0.071,5,0.075
gemini-3.1-flash-lite,mean,97,-,-,-,-,0.927,-,-,-
gemini-3.1-flash-lite,any@3,97,-,-,91,-,0.938,-,-,-
gemini-3.1-flash-lite,majority@3,97,-,-,67,-,0.691,-,-,-
gemini-3.1-flash-lite,all@3,97,-,-,43,-,0.443,-,-,-
gpt-5-3-codex,run1,109,107,2,96,11,0.897,0.103,17,0.168
gpt-5-3-codex,run2,113,108,5,96,12,0.889,0.111,19,0.194
gpt-5-3-codex,run3,121,119,2,103,16,0.866,0.134,14,0.124
gpt-5-3-codex,mean,128,-,-,-,-,0.884,-,-,-
gpt-5-3-codex,any@3,128,-,-,117,-,0.914,-,-,-
gpt-5-3-codex,majority@3,128,-,-,100,-,0.781,-,-,-
gpt-5-3-codex,all@3,128,-,-,78,-,0.609,-,-,-
minimax-m3,run1,116,113,3,102,11,0.903,0.097,43,0.462
minimax-m3,run2,97,91,6,80,11,0.879,0.121,33,0.423
minimax-m3,run3,102,97,5,85,12,0.876,0.124,33,0.407
minimax-m3,mean,124,-,-,-,-,0.886,-,-,-
minimax-m3,any@3,124,-,-,113,-,0.911,-,-,-
minimax-m3,majority@3,124,-,-,99,-,0.798,-,-,-
minimax-m3,all@3,124,-,-,55,-,0.444,-,-,-
