model,run,attempted,coded,abstained,consistent,conflicting,pct_consistent,pct_conflicting,aligned_4way,pct_aligned_4way
claude-opus,run1,15,13,2,13,0,1.000,0.000,5,0.500
claude-opus,run2,17,16,1,14,2,0.875,0.125,9,0.643
claude-opus,run3,18,18,0,16,2,0.889,0.111,7,0.389
claude-opus,mean,18,-,-,-,-,0.921,-,-,-
claude-opus,any@3,18,-,-,16,-,0.889,-,-,-
claude-opus,majority@3,18,-,-,14,-,0.778,-,-,-
claude-opus,all@3,18,-,-,13,-,0.722,-,-,-
gemini-3.1-flash-lite,run1,2,2,0,2,0,1.000,0.000,0,0.000
gemini-3.1-flash-lite,run2,4,4,0,4,0,1.000,0.000,0,0.000
gemini-3.1-flash-lite,run3,6,6,0,6,0,1.000,0.000,0,0.000
gemini-3.1-flash-lite,mean,6,-,-,-,-,1.000,-,-,-
gemini-3.1-flash-lite,any@3,6,-,-,6,-,1.000,-,-,-
gemini-3.1-flash-lite,majority@3,6,-,-,4,-,0.667,-,-,-
gemini-3.1-flash-lite,all@3,6,-,-,2,-,0.333,-,-,-
gpt-5-3-codex,run1,11,11,0,10,1,0.909,0.091,0,0.000
gpt-5-3-codex,run2,13,13,0,13,0,1.000,0.000,1,0.083
gpt-5-3-codex,run3,13,13,0,12,1,0.923,0.077,1,0.083
gpt-5-3-codex,mean,16,-,-,-,-,0.944,-,-,-
gpt-5-3-codex,any@3,16,-,-,16,-,1.000,-,-,-
gpt-5-3-codex,majority@3,16,-,-,11,-,0.688,-,-,-
gpt-5-3-codex,all@3,16,-,-,8,-,0.500,-,-,-
minimax-m3,run1,11,11,0,9,2,0.818,0.182,4,0.364
minimax-m3,run2,12,12,0,11,1,0.917,0.083,5,0.455
minimax-m3,run3,7,6,1,6,0,1.000,0.000,2,0.333
minimax-m3,mean,15,-,-,-,-,0.912,-,-,-
minimax-m3,any@3,15,-,-,12,-,0.800,-,-,-
minimax-m3,majority@3,15,-,-,9,-,0.600,-,-,-
minimax-m3,all@3,15,-,-,5,-,0.333,-,-,-
