InstanceId,Label
astropy__astropy-13579,Aligned
astropy__astropy-14365,Aligned
astropy__astropy-14598,Partial
astropy__astropy-7606,Aligned
astropy__astropy-7671,Aligned
astropy__astropy-8707,Aligned
astropy__astropy-8872,Aligned
django__django-10554,Aligned
django__django-11138,Aligned
django__django-11265,Aligned
django__django-11400,Aligned
django__django-11532,Partial
django__django-11734,Aligned
django__django-11740,Aligned
django__django-12155,Partial
django__django-12406,Aligned
django__django-13297,Aligned
django__django-13344,Aligned
django__django-13512,Aligned
django__django-13810,Aligned
django__django-14011,Aligned
django__django-14034,Aligned
django__django-14053,Aligned
django__django-14170,Aligned
django__django-14349,Aligned
django__django-15503,Aligned
django__django-15554,Aligned
django__django-15563,Aligned
django__django-15572,Aligned
django__django-15629,Aligned
django__django-15732,Aligned
django__django-15916,Aligned
django__django-16145,Aligned
django__django-16315,Aligned
django__django-16454,Aligned
django__django-16502,Aligned
django__django-16631,Aligned
django__django-16901,Aligned
django__django-16938,Aligned
django__django-17084,Aligned
matplotlib__matplotlib-20859,Aligned
matplotlib__matplotlib-23299,Partial
matplotlib__matplotlib-24026,Partial
matplotlib__matplotlib-25287,Aligned
matplotlib__matplotlib-25311,Aligned
matplotlib__matplotlib-25479,Partial
matplotlib__matplotlib-25960,Aligned
matplotlib__matplotlib-26466,Aligned
mwaskom__seaborn-3187,Aligned
psf__requests-2317,Aligned
psf__requests-2931,Aligned
pydata__xarray-3095,Aligned
pydata__xarray-3993,Aligned
pydata__xarray-6599,Aligned
pydata__xarray-6938,Aligned
pydata__xarray-7229,Aligned
pylint-dev__pylint-4604,Aligned
pylint-dev__pylint-6528,Aligned
pylint-dev__pylint-8898,Aligned
pytest-dev__pytest-10051,Aligned
pytest-dev__pytest-6197,Aligned
pytest-dev__pytest-7205,Aligned
pytest-dev__pytest-7236,Aligned
pytest-dev__pytest-7324,Aligned
scikit-learn__scikit-learn-10297,Aligned
scikit-learn__scikit-learn-12973,Aligned
scikit-learn__scikit-learn-13124,Aligned
scikit-learn__scikit-learn-13142,Aligned
scikit-learn__scikit-learn-25931,Aligned
scikit-learn__scikit-learn-25973,Aligned
scikit-learn__scikit-learn-26194,Partial
scikit-learn__scikit-learn-9288,Aligned
sphinx-doc__sphinx-10449,Aligned
sphinx-doc__sphinx-11510,Aligned
sphinx-doc__sphinx-7462,Aligned
sphinx-doc__sphinx-7910,Aligned
sphinx-doc__sphinx-8056,Aligned
sphinx-doc__sphinx-8120,Aligned
sphinx-doc__sphinx-8475,Aligned
sphinx-doc__sphinx-8551,Aligned
sphinx-doc__sphinx-9320,Aligned
sphinx-doc__sphinx-9658,Aligned
sphinx-doc__sphinx-9711,Aligned
sympy__sympy-13877,Aligned
sympy__sympy-14248,Aligned
sympy__sympy-15345,Aligned
sympy__sympy-15976,Aligned
sympy__sympy-16597,Aligned
sympy__sympy-16792,Aligned
sympy__sympy-17318,Aligned
sympy__sympy-19495,Aligned
sympy__sympy-20438,Partial
sympy__sympy-21379,Aligned
sympy__sympy-24562,Aligned
