instance_id,group,repo,difficulty,n_models_both,n_models_fl_only,n_models_fl_correct,n_models_reasoning_consistent
astropy__astropy-13579,both,astropy,1-4h,2,0,2,3
django__django-13343,both,django,15m-1h,3,0,3,4
django__django-13810,both,django,15m-1h,3,0,3,3
django__django-15503,both,django,1-4h,2,0,2,3
django__django-15572,both,django,<15m,4,0,4,3
django__django-16315,both,django,15m-1h,2,0,2,3
django__django-16938,both,django,15m-1h,3,0,3,3
matplotlib__matplotlib-22719,both,matplotlib,<15m,3,0,3,4
matplotlib__matplotlib-24026,both,matplotlib,15m-1h,4,0,4,4
matplotlib__matplotlib-25311,both,matplotlib,<15m,3,0,3,3
psf__requests-2931,both,requests,15m-1h,2,1,3,4
pydata__xarray-3305,both,xarray,15m-1h,3,0,3,3
pytest-dev__pytest-7205,both,pytest,<15m,4,0,4,4
pytest-dev__pytest-8399,both,pytest,15m-1h,4,0,4,4
scikit-learn__scikit-learn-10297,both,scikit-learn,15m-1h,4,0,4,4
scikit-learn__scikit-learn-14496,both,scikit-learn,<15m,4,0,4,4
scikit-learn__scikit-learn-25931,both,scikit-learn,15m-1h,2,1,3,4
scikit-learn__scikit-learn-25973,both,scikit-learn,<15m,3,1,4,4
scikit-learn__scikit-learn-9288,both,scikit-learn,15m-1h,2,0,2,2
sphinx-doc__sphinx-7910,both,sphinx,<15m,4,0,4,4
sphinx-doc__sphinx-8120,both,sphinx,15m-1h,4,0,4,4
sphinx-doc__sphinx-9320,both,sphinx,<15m,3,0,3,4
sympy__sympy-13031,both,sympy,15m-1h,2,0,2,4
sympy__sympy-16792,both,sympy,15m-1h,2,1,3,3
sympy__sympy-24562,both,sympy,<15m,3,0,3,4
astropy__astropy-14365,fl_only,astropy,15m-1h,0,3,3,2
astropy__astropy-14598,fl_only,astropy,15m-1h,0,2,2,0
astropy__astropy-7606,fl_only,astropy,15m-1h,0,3,3,4
astropy__astropy-8872,fl_only,astropy,15m-1h,0,3,3,3
django__django-11138,fl_only,django,1-4h,1,2,3,3
django__django-11265,fl_only,django,15m-1h,0,3,3,3
django__django-11400,fl_only,django,1-4h,0,4,4,4
django__django-13195,fl_only,django,15m-1h,1,3,4,2
django__django-13512,fl_only,django,<15m,0,4,4,3
django__django-14053,fl_only,django,15m-1h,1,2,3,3
django__django-15916,fl_only,django,15m-1h,1,2,3,3
matplotlib__matplotlib-25479,fl_only,matplotlib,<15m,0,2,2,2
matplotlib__matplotlib-26466,fl_only,matplotlib,15m-1h,0,4,4,4
mwaskom__seaborn-3187,fl_only,seaborn,15m-1h,0,2,2,2
pylint-dev__pylint-4604,fl_only,pylint,15m-1h,0,2,2,3
pylint-dev__pylint-8898,fl_only,pylint,1-4h,0,3,3,3
scikit-learn__scikit-learn-14983,fl_only,scikit-learn,<15m,1,2,3,3
scikit-learn__scikit-learn-25747,fl_only,scikit-learn,15m-1h,0,2,2,4
sphinx-doc__sphinx-11510,fl_only,sphinx,1-4h,0,2,2,2
sphinx-doc__sphinx-7462,fl_only,sphinx,<15m,0,3,3,4
sphinx-doc__sphinx-9602,fl_only,sphinx,15m-1h,0,2,2,1
sphinx-doc__sphinx-9711,fl_only,sphinx,<15m,0,3,3,3
sympy__sympy-16597,fl_only,sympy,1-4h,0,4,4,4
sympy__sympy-21596,fl_only,sympy,15m-1h,0,2,2,3
sympy__sympy-21930,fl_only,sympy,15m-1h,0,2,2,4
