instance_id,base_commit,file,line,csv_statement,repo_line,status,detail
astropy__astropy-13579,0df94ff7097961e92fd7812036a24b145bc13ca8,astropy/wcs/wcsapi/wrappers/sliced_wcs.py,254,world_arrays_new.append(1.),world_arrays_new.append(1.),match,
astropy__astropy-14365,7269fa3e33e8d02485a647da91a5a2a60a06af61,astropy/io/ascii/qdp.py,71,_line_type_re = re.compile(_type_re),_line_type_re = re.compile(_type_re),match,
astropy__astropy-14365,7269fa3e33e8d02485a647da91a5a2a60a06af61,astropy/io/ascii/qdp.py,309,"if v == ""NO"":","if v == ""NO"":",match,
astropy__astropy-14598,80c3854a5f4f4a6ab86c03d9db7854767fcd83c1,astropy/io/fits/card.py,69,"_strg_comment_RE = re.compile(f""({_strg})? *{_comm_field}?"")","_strg_comment_RE = re.compile(f""({_strg})? *{_comm_field}?"")",match,
astropy__astropy-14598,80c3854a5f4f4a6ab86c03d9db7854767fcd83c1,astropy/io/fits/card.py,862,"value = value.rstrip().replace(""''"", ""'"")","value = value.rstrip().replace(""''"", ""'"")",match,
astropy__astropy-7671,a7141cd90019b62688d507ae056298507678c058,astropy/utils/introspection.py,143,return LooseVersion(have_version) >= LooseVersion(version),return LooseVersion(have_version) >= LooseVersion(version),match,
astropy__astropy-8872,b750a0e6ee76fb6b8a099a4d16ec51977be46bf6,astropy/units/quantity.py,299,"if not (np.can_cast(np.float32, value.dtype) or value.dtype.fields):","if not (np.can_cast(np.float32, value.dtype) or",multiline,spans 2 lines
astropy__astropy-8872,b750a0e6ee76fb6b8a099a4d16ec51977be46bf6,astropy/units/quantity.py,380,"if dtype is None and (not (np.can_cast(np.float32, value.dtype) or value.dtype.fields) or value.dtype.kind == 'O'):","if dtype is None and (not (np.can_cast(np.float32, value.dtype)",multiline,spans 3 lines
django__django-13121,ec5aa2161d8015a3fe57dcbbfe14200cd18f0a16,django/db/models/expressions.py,60,"other = DurationValue(other, output_field=fields.DurationField())","other = DurationValue(other, output_field=fields.DurationField())",match,
django__django-13121,ec5aa2161d8015a3fe57dcbbfe14200cd18f0a16,django/db/models/expressions.py,452,if (not connection.features.has_native_duration_field and ((lhs_output and lhs_output.get_internal_type() == 'DurationField') or (rhs_output and rhs_output.get_internal_type() == 'DurationField'))):,if (not connection.features.has_native_duration_field and,multiline,spans 3 lines
django__django-13121,ec5aa2161d8015a3fe57dcbbfe14200cd18f0a16,django/db/models/expressions.py,717,"return connection.ops.date_interval_sql(self.value), []","return connection.ops.date_interval_sql(self.value), []",match,
django__django-13449,2a55431a5678af52f669ffe7dff3dd0bd21727f8,django/db/models/expressions.py,1256,class Window(Expression):,class Window(Expression):,match,
django__django-14007,619f26d2895d121854b1bed1b535d42b722e2eba,django/db/models/sql/compiler.py,1415,return self.connection.ops.fetch_returned_insert_rows(cursor),return self.connection.ops.fetch_returned_insert_rows(cursor),match,
django__django-14007,619f26d2895d121854b1bed1b535d42b722e2eba,django/db/models/sql/compiler.py,1418,"return [self.connection.ops.fetch_returned_insert_columns(cursor, self.returning_params)]","return [self.connection.ops.fetch_returned_insert_columns(cursor, self.returning_params)]",match,
django__django-14007,619f26d2895d121854b1bed1b535d42b722e2eba,django/db/models/sql/compiler.py,1419,"return [(self.connection.ops.last_insert_id(cursor, self.query.get_meta().db_table, self.query.get_meta().pk.column),)]",return [(self.connection.ops.last_insert_id(,multiline,spans 3 lines
django__django-16145,93d4c9ea1de24eb391cb2b3561b6703fd46374df,django/core/management/commands/runserver.py,154,"""addr"": ""[%s]"" % self.addr if self._raw_ipv6 else self.addr,",),line_offset,actual line 150 (Δ-4)
matplotlib__matplotlib-23299,3eadeacc06c9f2ddcdac6ae39819faa9fbee9e39,lib/matplotlib/__init__.py,1090,orig = rcParams.copy(),orig = rcParams.copy(),match,
matplotlib__matplotlib-24026,14c96b510ebeba40f573e512299b1976f35b620e,lib/matplotlib/stackplot.py,73,axes.set_prop_cycle(color=colors),axes.set_prop_cycle(color=colors),match,
matplotlib__matplotlib-26208,f0f133943d3e4f1e2e665291fe1c8f658a84cc09,lib/matplotlib/axes/_base.py,4444,return ax2,return ax2,match,
matplotlib__matplotlib-26208,f0f133943d3e4f1e2e665291fe1c8f658a84cc09,lib/matplotlib/axes/_base.py,4473,return ax2,return ax2,match,
mwaskom__seaborn-3187,22cdfb0c93f8ec78492d87edb810f10cb7f57a31,seaborn/_core/scales.py,381,labels = axis.major.formatter.format_ticks(locs),labels = axis.major.formatter.format_ticks(locs),match,
mwaskom__seaborn-3187,22cdfb0c93f8ec78492d87edb810f10cb7f57a31,seaborn/utils.py,701,formatter = mpl.ticker.ScalarFormatter(),formatter = mpl.ticker.ScalarFormatter(),match,
psf__requests-2317,091991be0da19de9108dbe5e3752917fea3d7fdc,requests/sessions.py,428,method = builtin_str(method),method = builtin_str(method),match,
psf__requests-2931,5f7a3a74aab1625c2bb65f643197ee885e3da576,requests/models.py,84,return to_native_string(data),return to_native_string(data),match,
pydata__xarray-3305,69c7e01e5167a3137c285cb50d1978252bb8bcbf,xarray/core/variable.py,1595,"def quantile(self, q, dim=None, interpolation=""linear""):","def quantile(self, q, dim=None, interpolation=""linear""):",match,
pydata__xarray-3305,69c7e01e5167a3137c285cb50d1978252bb8bcbf,xarray/core/variable.py,1661,"return Variable(new_dims, qs)","return Variable(new_dims, qs)",match,
pydata__xarray-3305,69c7e01e5167a3137c285cb50d1978252bb8bcbf,xarray/core/dataset.py,4771,"q, dim=reduce_dims, interpolation=interpolation","q, dim=reduce_dims, interpolation=interpolation",match,
