instance_id,base_commit,file,line,start_line,end_line,n_lines,current_statement,extracted_statement,reason
astropy__astropy-13579,0df94ff7097961e92fd7812036a24b145bc13ca8,astropy/wcs/wcsapi/wrappers/sliced_wcs.py,254,254,254,1,world_arrays_new.append(1.),world_arrays_new.append(1.),exact match
astropy__astropy-14365,7269fa3e33e8d02485a647da91a5a2a60a06af61,astropy/io/ascii/qdp.py,71,71,71,1,_line_type_re = re.compile(_type_re),_line_type_re = re.compile(_type_re),exact match
astropy__astropy-14365,7269fa3e33e8d02485a647da91a5a2a60a06af61,astropy/io/ascii/qdp.py,309,309,309,1,"if v == ""NO"":","if v == ""NO"":",exact match
astropy__astropy-14598,80c3854a5f4f4a6ab86c03d9db7854767fcd83c1,astropy/io/fits/card.py,69,69,69,1,"_strg_comment_RE = re.compile(f""({_strg})? *{_comm_field}?"")","_strg_comment_RE = re.compile(f""({_strg})? *{_comm_field}?"")",exact match
astropy__astropy-14598,80c3854a5f4f4a6ab86c03d9db7854767fcd83c1,astropy/io/fits/card.py,862,862,862,1,"value = value.rstrip().replace(""''"", ""'"")","value = value.rstrip().replace(""''"", ""'"")",exact match
astropy__astropy-7606,3cedd79e6c121910220f8e6df77c54a0b344ea94,astropy/units/core.py,1713,1713,1713,1,"other = Unit(other, parse_strict='silent')","other = Unit(other, parse_strict='silent')",exact match
astropy__astropy-7671,a7141cd90019b62688d507ae056298507678c058,astropy/utils/introspection.py,143,143,143,1,return LooseVersion(have_version) >= LooseVersion(version),return LooseVersion(have_version) >= LooseVersion(version),exact match
astropy__astropy-8707,a85a0747c54bac75e9c3b2fe436b105ea029d6cf,astropy/io/fits/card.py,557,557,557,1,card._image = _pad(image),card._image = _pad(image),exact match
astropy__astropy-8707,a85a0747c54bac75e9c3b2fe436b105ea029d6cf,astropy/io/fits/header.py,369,369,369,1,"end_idx = data.index(sep, idx)","end_idx = data.index(sep, idx)",exact match
astropy__astropy-8707,a85a0747c54bac75e9c3b2fe436b105ea029d6cf,astropy/io/fits/header.py,377,377,377,1,if next_image[:8] == 'CONTINUE':,if next_image[:8] == 'CONTINUE':,exact match
astropy__astropy-8707,a85a0747c54bac75e9c3b2fe436b105ea029d6cf,astropy/io/fits/header.py,380,380,380,1,cards.append(Card.fromstring(''.join(image))),cards.append(Card.fromstring(''.join(image))),exact match
astropy__astropy-8707,a85a0747c54bac75e9c3b2fe436b105ea029d6cf,astropy/io/fits/header.py,383,383,383,1,if next_image == END_CARD:,if next_image == END_CARD:,exact match
astropy__astropy-8707,a85a0747c54bac75e9c3b2fe436b105ea029d6cf,astropy/io/fits/header.py,387,387,387,1,if next_image.split(sep)[0].rstrip() == 'END':,if next_image.split(sep)[0].rstrip() == 'END':,exact match
astropy__astropy-8707,a85a0747c54bac75e9c3b2fe436b105ea029d6cf,astropy/io/fits/header.py,395,395,395,1,cards.append(Card.fromstring(''.join(image))),cards.append(Card.fromstring(''.join(image))),exact match
django__django-10554,14d026cccb144c6877294ba4cd4e03ebf0842498,django/db/models/sql/compiler.py,359,359,359,1,raise DatabaseError('ORDER BY term does not match any column in the result set.'),raise DatabaseError('ORDER BY term does not match any column in the result set.'),exact match
django__django-11138,c84b91b7603e488f7171fdff8f08368ef3d6b856,django/db/backends/sqlite3/base.py,409,409,409,1,"dt = timezone.localtime(dt, pytz.timezone(tzname))","dt = timezone.localtime(dt, pytz.timezone(tzname))",exact match
django__django-11138,c84b91b7603e488f7171fdff8f08368ef3d6b856,django/db/backends/sqlite3/operations.py,88,88,88,1,"return ""'%s'"" % tzname if settings.USE_TZ else 'NULL'","return ""'%s'"" % tzname if settings.USE_TZ else 'NULL'",exact match
django__django-11138,c84b91b7603e488f7171fdff8f08368ef3d6b856,django/db/backends/mysql/operations.py,73,73,73,1,"field_name = ""CONVERT_TZ(%s, 'UTC', '%s')"" % (field_name, tzname)","field_name = ""CONVERT_TZ(%s, 'UTC', '%s')"" % (field_name, tzname)",exact match
django__django-11138,c84b91b7603e488f7171fdff8f08368ef3d6b856,django/db/backends/oracle/operations.py,104,104,104,1,"return ""CAST((FROM_TZ(%s, '0:00') AT TIME ZONE '%s') AS TIMESTAMP)"" % (field_name, tzname)","return ""CAST((FROM_TZ(%s, '0:00') AT TIME ZONE '%s') AS TIMESTAMP)"" % (field_name, tzname)",exact match
django__django-11265,21aa2a5e785eef1f47beb1c3760fdd7d8915ae09,django/db/models/sql/query.py,1668,1668,1668,1,query = Query(self.model),query = Query(self.model),exact match
django__django-11265,21aa2a5e785eef1f47beb1c3760fdd7d8915ae09,django/db/models/sql/query.py,2145,2145,2145,1,if self.alias_map[lookup_tables[trimmed_paths + 1]].join_type != LOUTER:,if self.alias_map[lookup_tables[trimmed_paths + 1]].join_type != LOUTER:,exact match
django__django-11400,1f8382d34d54061eddc41df6994e20ee38c60907,django/contrib/admin/filters.py,422,422,422,1,"return field.get_choices(include_blank=False, limit_choices_to={'pk__in': pk_qs})","return field.get_choices(include_blank=False, limit_choices_to={'pk__in': pk_qs})",exact match
django__django-11532,a5308514fb4bc5086c9a16a8a24a945eeebb073c,django/core/mail/utils.py,16,16,16,1,self._fqdn = socket.getfqdn(),self._fqdn = socket.getfqdn(),exact match
django__django-11728,05457817647368be4b019314fcc655445a5b4c0c,django/contrib/admindocs/utils.py,172,172,172,1,if unmatched_open_brackets == 0:,if unmatched_open_brackets == 0:,exact match
django__django-11728,05457817647368be4b019314fcc655445a5b4c0c,django/contrib/admindocs/utils.py,204,204,204,1,if unmatched_open_brackets == 0:,if unmatched_open_brackets == 0:,exact match
django__django-11734,999891bd80b3d02dd916731a7a239e1036174885,django/db/models/sql/query.py,1705,1705,1705,1,"if isinstance(filter_rhs, F):","if isinstance(filter_rhs, F):",exact match
django__django-11734,999891bd80b3d02dd916731a7a239e1036174885,django/db/models/fields/related_lookups.py,104,104,104,1,"if not isinstance(self.lhs, MultiColSource) and self.rhs_is_direct_value():","if not isinstance(self.lhs, MultiColSource) and self.rhs_is_direct_value():",exact match
django__django-12155,e8fcdaad5c428878d0a5d6ba820d957013f75595,django/contrib/admindocs/utils.py,37,37,37,1,indent = min(len(line) - len(line.lstrip()) for line in lines if line.lstrip()),indent = min(len(line) - len(line.lstrip()) for line in lines if line.lstrip()),exact match
django__django-12406,335c9c94acf263901fb023404408880245b0c4b4,django/forms/models.py,1188,1188,1188,1,if required and (initial is not None):,if required and (initial is not None):,exact match
django__django-12406,335c9c94acf263901fb023404408880245b0c4b4,django/db/models/fields/related.py,978,978,983,6,"return super().formfield(**{
    'form_class': forms.ModelChoiceField,
    'queryset': self.remote_field.model._default_manager.using(using),
    'to_field_name': self.remote_field.field_name,
    **kwargs,
})","return super().formfield(**{
    'form_class': forms.ModelChoiceField,
    'queryset': self.remote_field.model._default_manager.using(using),
    'to_field_name': self.remote_field.field_name,
    **kwargs,
})",exact match
django__django-13121,ec5aa2161d8015a3fe57dcbbfe14200cd18f0a16,django/db/models/expressions.py,60,60,60,1,"other = DurationValue(other, output_field=fields.DurationField())","other = DurationValue(other, output_field=fields.DurationField())",exact match
django__django-13121,ec5aa2161d8015a3fe57dcbbfe14200cd18f0a16,django/db/models/expressions.py,717,717,717,1,"return connection.ops.date_interval_sql(self.value), []","return connection.ops.date_interval_sql(self.value), []",exact match
django__django-13158,7af8f4127397279d19ef7c7899e93018274e2f9b,django/db/models/sql/query.py,296,296,296,1,obj.__dict__ = self.__dict__.copy(),obj.__dict__ = self.__dict__.copy(),exact match
django__django-13158,7af8f4127397279d19ef7c7899e93018274e2f9b,django/db/models/sql/query.py,1779,1779,1779,1,"self.where.add(NothingNode(), AND)","self.where.add(NothingNode(), AND)",exact match
django__django-13195,156a2138db20abc89933121e4ff2ee2ce56a173a,django/http/response.py,213,213,213,1,"def delete_cookie(self, key, path='/', domain=None):","def delete_cookie(self, key, path='/', domain=None):",exact match
django__django-13195,156a2138db20abc89933121e4ff2ee2ce56a173a,django/http/response.py,216,216,216,1,"secure = key.startswith(('__Secure-', '__Host-'))","secure = key.startswith(('__Secure-', '__Host-'))",exact match
django__django-13195,156a2138db20abc89933121e4ff2ee2ce56a173a,django/contrib/messages/storage/cookie.py,95,95,95,1,"response.delete_cookie(self.cookie_name, domain=settings.SESSION_COOKIE_DOMAIN)","response.delete_cookie(self.cookie_name, domain=settings.SESSION_COOKIE_DOMAIN)",exact match
django__django-13297,8954f255bbf5f4ee997fd6de62cb50fc9b5dd697,django/views/generic/base.py,172,172,172,1,@SimpleLazyObject,@SimpleLazyObject,exact match
